time;;;;;;;
0:00;s_a1 t_sleep_2;;;;;;
1:00;s_a1 t_sleep_2;;;;;;
2:00;s_a1 t_sleep_2;;;;;;
3:00;s_a1 t_sleep_2;;;;;;
4:00;s_a1 t_sleep_2;;;;;;
5:00;s_a1 t_sleep_2;;;;;;
6:00;s_a1 t_sleep_2;;;;;;
7:00;s_a1 t_sleep_2;;;;;;
8:00;s_a1 t_smoke_12;;;;;;
9:00;s_a1 t_smoke_12;;;;;;
10:00;s_a1 t_smoke_12;;;;;;
11:00;s_a1 t_patrol_2;;;;;;
12:00;s_a1 t_patrol_2;;;;;;
13:00;s_a1 t_patrol_2;;;;;;
14:00;s_a1 t_patrol_2;;;;;;
15:00;s_a1 t_patrol_2;;;;;;
16:00;s_a1 t_patrol_2;;;;;;
17:00;s_a1 t_patrol_2;;;;;;
18:00;s_a1 t_patrol_2;;;;;;
19:00;s_a1 t_patrol_2;;;;;;
20:00;s_a1 t_patrol_2;;;;;;
21:00;s_a1 t_patrol_2;;;;;;
22:00;s_a1 t_sleep_2;;;;;;
23:00;s_a1 t_sleep_2;;;;;;
;;;;;;;
